id	result
5000001	{"施廷懋": 1, "王涵": 1}
5000002	{"阿尔弗雷德·诺贝尔": 1, "诺贝尔奖委员会": 0}
5000003	{"威少": -1, "约基奇": 1, "詹姆斯": -1, "霍华德": 0, "半场": 0}
5000004	{"刘祥坤": 1, "二龙湖": 1, "热度": 0}
5000005	{"小沈龙": -1, "粉丝": 0, "明星": 0}
5000006	{"剧集": 0}
5000007	{"美国": 0, "5G": 0}
5000008	{"陈亚男": -1, "朱小伟": 0}
5000009	{"日内瓦": 0, "世界贸易组织": 0}
5000010	{"九阴真经": 1, "王重阳": 0}
5000011	{"永佳河镇": 0, "罗某": 0}
5000012	{"曹桐睿": 1}
5000013	{"李阿姨": 0}
5000014	{"陆川": 0, "秦岚": 0}
5000015	{"法国": 0, "哈萨克斯坦": -1}
5000016	{"教育督导问责办法": 0, "制度": 0, "田祖荫": 0}
5000017	{"中国": 0, "美国": 0}
5000018	{"记者": 0}
5000019	{"刘浩存": -1}
5000020	{"陶虹": 0, "山东": 0}
5000021	{"高铁": 0, "合肥": 0}
5000022	{"张默": -1, "童瑶": 0, "张国立": 0}
5000023	{"王冰冰": 1, "撒贝宁": 1, "央视": 0}
5000024	{"A股": 0}
5000025	{"特伦特": 1, "湖人": 0, "猛龙": 0}
5000026	{"迈克尔乔丹": 1, "科比布莱恩特": 1, "魔术师约翰逊": 1, "库里": 0, "后卫": 0}
5000027	{"林燕梅": 0, "深圳": 0}
5000028	{"冯春生": 0}
5000029	{"玲珑轮胎": 0, "越南": 0, "玲珑": 0}
5000030	{"美国": 0, "鲍威尔": -1}
5000031	{"赵某某": -2}
5000032	{"文化": 0, "田义": 0}
5000033	{"学校": 0}
5000034	{"孙红雷": 0, "丁嘉丽": 1}
5000035	{"刘某某": -2, "王某某": -2, "窦某某": -2, "公安津南分局": 0, "津南区": 0}
5000036	{"医生": 0}
5000037	{"周健勇": -2, "周江勇": -2}
5000038	{"阿富汗": 0, "塔利班": 0}
5000039	{"得克萨斯州": 0, "美国国家飓风研究中心": 0}
5000040	{"陈亚男": 0}
5000041	{"中国": 0}
5000042	{"英国": 0, "部队": 0}
5000043	{"中国": 0, "台湾": 0}
5000044	{"学历": 0, "教育部": 0}
5000045	{"孟菲斯队": -1, "布鲁克林篮网队": -1, "篮板": 0}
5000046	{"证监会": 0, "老虎证券": 0}
5000047	{"哈里斯": 0, "拜登": 0, "民主党": 0}
5000048	{"张卫健": 1}
5000049	{"战略": 0, "毛泽东": 0}
5000050	{"副书记": 0, "委员": 0}
5000051	{"万先生": 0}
5000052	{"小区": 0}
5000053	{"搜狐": 0}
5000054	{"湖人": 1, "火箭": 1, "詹姆斯": 1, "马刺": -1, "比分": 0, "球队": 0}
5000055	{"火箭": 1, "客场": 0, "小波特": 1}
5000056	{"记者": 0}
5000057	{"郑金兰": 0, "潍坊市委": 0, "山东": 0}
5000058	{"李在镕": -2}
5000059	{"尚宇博": 0, "父母": 0}
5000060	{"中国": 0, "人民": 0}
5000061	{"张一山": 0, "杨紫": -1}
5000062	{"太空": 0, "马斯克": 0}
5000063	{"自民党": 0, "日本": 0}
5000064	{"王新房": 1}
5000065	{"管理层": 0, "沃格尔": 0}
5000066	{"李小明": -2, "山西省": 0, "山西省纪委监委": 0}
5000067	{"夏桀": -1}
5000068	{"美国": 0, "中国": 0}
5000069	{"理叔叔": 0}
5000070	{"王力宏": 1, "李靓蕾": -1, "歌手": 0}
5000071	{"张世": 1, "角色": 0, "演员": 0}
5000072	{"易思忛": 0, "周兆成": 0}
5000073	{"周锐": 1, "骆伽": 1, "输赢": 1}
5000074	{"美国": 0}
5000075	{"拜登": 0, "普京": 0}
5000076	{"荣盛时代": 0, "王丽": 0}
5000077	{"加拿大": 0, "不列颠哥伦比亚省": 0}
5000078	{"王岳伦": -1, "李湘": 0}
5000079	{"小张": -2, "小磊": 0, "太原": 0}
5000080	{"意见": 0}
5000081	{"腾讯": 0, "IT之家": 0}
5000082	{"令妃": 1}
5000083	{"王某文": -2, "张某": 0, "记者": 0, "周某": 0}
5000084	{"河南": 0}
5000085	{"马晓伟": -1}
5000086	{"林婉柔": 0, "王忆如": 0}
5000087	{"西安市": 0, "春运": 0}
5000088	{"德约科维奇": -1, "决赛": 0, "梅德维德夫": 1}
5000089	{"未成年人": 0, "公安": 0}
5000090	{"杨锴": 0}
5000091	{"霍震寰": -1, "霍震霆": -1}
